Title,Body,Url,Category
Mu Rwanda habonetse abandi bantu 3 barwaye Coronavirus,"Itangazo rya Minisiteri y’Ubuzima riravuga ko babiri muri abo batatu, baherutse kugirira ingendo mu bihugu byo mu karere, bahita bashyirwa mu kato bakigera mu Rwanda. Undi muntu umwe, ngo byamenyekanye ko yahuye n’undi urwaye Coronavirus mu Rwanda.


Umunyamakuru wa Kigali Today/KT Radio
@ h_malachie

",https://www.kigalitoday.com/ubuzima/indwara/article/mu-rwanda-habonetse-abandi-bantu-3-barwaye-coronavirus,Health
Umuyobozi wa OMS yagaragaje iterabwoba yashyizweho n’uko abirabura bibasiwe,"Avuga ko ikimubabaje atari uguhozwa ku nkeke nk’umuntu umwe, ahubwo ko abantu bafite uruhu rwirabura ku isi bose ngo barimo gutukwa.
Perezida wa Leta zunze Ubumwe za Amerika, Donald Trump, ku wa kabiri w’iki cyumweru yatangaje ko Ubuyobozi bwa OMS buhagarariwe n’Umunya-Ethiopia, Tedros Adhanom, bwarangaye ndetse bukayobya Leta zunze ubumwe za Amerika ku bijyanye no gukumira icyorezo Covid-19.
Trump avuga ko Tedros ngo yagakwiye kuba yaraburiye isi hakiri kare na Leta zunze ubumwe za Amerika by’umwihariko, ariko ngo aho kubikora arimo gushimagiza u Bushinwa, kandi ngo hari gihamya cy’uko bushobora kuba butavugisha ukuri ku bijyanye n’icyorezo cyibasiye isi.
Perezida Trump hamwe na bamwe mu basenateri bo mu ishyaka rye ry’aba ‘Republicains’, bavuga ko bashobora no guhagarika imisanzu Amerika igenera OMS iyoborwa na Dr Tedros, na cyane ko bavuga ko USA ari zo zitanga inkunga nyinshi muri uyu muryango.
Mu barenga miliyoni imwe n’ibihumbi 500 kugeza kuwa gatatu bari bamaze kwandura Coronavirus ku isi kuva yakwaduka mu mpera z’umwaka ushize, Amerika (USA) yonyine yagize abarwayi barenga ibihumbi 426, ndetse n’impfu zikabakaba ibihumbi 15 mu bihumbi 88 iki cyorezo kimaze guteza ku isi.
Byatumye hari Abanyamerika batangira kwishyiramo Tedros uyobora OMS ndetse banamusaba kwegura, ariko nk’uko nyir’ubwite abivuga, abamutuka ngo bamaze kurenga umurongo wo kwibasira umuntu ku giti cye, batangira gutuka umuryango w’abirabura batuye isi muri rusange.
Dr. Tedros yatanze ikiganiro ku mbuga nkoranyambaga, agira ati “Nzi ko ndi umuntu umwe, Tedros ni akadomo mu isanzure, ibibazo byatangiye kumbaho nk’umuntu ku giti cye nta cyo byari bintwaye”.
Ati “Nahisemo guhugira mu bijyanye no kuramira ubuzima bw’abantu, narabivuze kenshi, turimo kubura abantu, kuki nakwitekerezaho nk’umuntu uhozwa ku nkeke mu gihe abantu barimo gupfa?
Ndi nde wo kwigira igihangange imbere y’abantu barimo gushira, abantu barimo gupfa hose ku isi! Ni yo mpamvu navuze nti ‘mushobora kuba mwarakurikiranye ubutumwa bwanjye kuri twitter, mfite umutima w’ubugiraneza kandi wagukiye abari mu kaga ndetse n’imiryango y’ababuze ababo”.
Muri icyo kiganiro akomeza agira ati “Sinabona uko mvuga iby’ibitero nagiye mpura na byo mu gihe cy’amezi abiri cyangwa atatu ashize, amagambo yo kuntoteza cyangwa y’irondaruhu, banyita amazina ngo umwirabura, ariko ndanabyishimira kuba umwirabura w’umunegro kuko ni umwirabura nyine, ndabyishimira rwose nta cyo bintwaye”.
Ati “Ibi byo ndabitangaza, ndetse hari n’aho nterwa ubwoba ko nzicwa. Nta bwoba binteye, ibi bintu mbimazemo amezi atatu yose, ariko ikimbabaza kurushaho nk’uko nigeze kubivuga mu kiganiro n’abanyamakuru, iyo umuryango w’abirabura wose watutswe, iyo Afurika yatutswe, aha ho ntabwo nabyihanganira.
Iyo bigeze aha ntangira kuvuga ko abantu barenze umurongo. Iyo ari ibintu bireba umuntu ku giti cye n’ubwo byaba ibikangisho by’urupfu, nta cyo byari bintwaye, nta n’icyo nigeze mbivugaho. Ariko iyo umuryango mugari twatangiye gutukwa, biba byarenze ihaniro, birakabije, ntabwo twabyihanganira”.
Uku guhozwa ku nkeke kwa Dr. Tedros kwamaganwe na bamwe mu bayobozi ku isi barimo Perezida wa Repubulika y’u Rwanda, Paul Kagame, Umuyobozi wa Komisiyo ya Afurika yunze ubumwe, Mussa Faki Mahamat, Perezida wa Namibia, Hage G. Geingob, ndetse n’Umuvugizi w’Umuryango w’Abibumbye (UN), Stephane Dujarric.
Mussa Faki Mahamat ni we wabanje kwandika ubutumwa kuri twitter, agira ati “Biratangaje kumva ubukangurambaga bwa Amerika burwanya ubuyobozi bwa OMS. Umuryango wa Afurika yunze Ubumwe ushyigikiye OMS na Dr Tedros. Hagakwiye ingamba zo gushyira hamwe no kurwanya COVID-19. Igihe cyo kubazwa inshingano kizaba kigera”.
Perezida Kagame na we yahise yandika ashyigikira ibyavuzwe na Mussa Faki Mahamat, ko yemeranywa na we mu buryo bwose.
Perezida Kagame ati “Ndibaza nti ‘ni Dr. Tedros, ni OMS, ni u Bushinwa…uwibasiwe ni nde, cyangwa ni bose hamwe? Reka twibande ku kurwanya iki cyorezo, naho ugomba kugira ibyo abazwa, byazakorwa nyuma kandi mu buryo bunoze. Muturinde Politiki nyinshi, Afurika ntabwo ari zo ikeneye. Mbese ni nde uzikeneye’’?
Umuvugizi wa UN, Stephane Dujarric, mu izina ry’Umunyamabanga Mukuru, Antonio Guterres, avuga ko OMS nta cyo itakoze kugira ngo ihangane n’icyorezo COVID-19, aho ashima ubufasha bwatanzwe ku bihugu bitandukanye bwaba ubw’ibikoresho, guhugura abantu ndetse no gutanga amabwiriza y’ubwirinzi.
Umunyamakuru wa Kigali Today/KT Radio
@ SimonKamuzinzi

",https://www.kigalitoday.com/ubuzima/indwara/article/umuyobozi-wa-oms-yagaragaje-iterabwoba-yashyizweho-n-uko-abirabura-bibasiwe,Health
Nyampinga w’u Bwongereza yabaye asubije ikamba kubera Coronavirus,"Uyu Nyampinga yari yahagaritse akazi k’ubuganga yigiye atangira inshingano ze nshya zo kuba yaratorewe kuba nyampinga mu gihugu cye, nyamara kubera ko icyoreszo cya Covid-19 gikomeje gushegesha igihugu cye cy’u Bwongereza, yahisemo kuba abihagaritse aza gufatanya mu rugamba n’abandi baganga.
Bhasha Mukherjee yatumiwe nk’ambasaderi w’ibikorwa by’ubugiraneza ku isi yose ndetse akaba yari yafashe icyemezo cyo kuba ahagaritse ibyo kuvura.
Yagize ati “Nari natumiwe muri Afurika, Turukiya, u Buhinde, Pakistan, muri Aziya n’ibindi bihugu bitandukanye”.
Nyuma y’ubutumwa bwa bagenzi be biganye ibijyanye no kuvura muri the Pilgrim Hospital i Boston, mu burasirazuba bw’u Bwongereza bamubwira ko Coronavirus iri gushegesha igihugu cye, yahise avugana n’ubuyobozi bw’ibyo bitaro ngo agaruke ku kazi kajyanye n’ibyo yize.
Yabwiye CNN ko nta cyo byaba bimaze kwambara ikamba ari gukora ibikorwa bw’ubugiraneza, mu gihe abantu babuze ubufasha bw’abaganga bakaguma kwicwa na Coronavirus ku isi kandi ari kubisabwa na bagenzi be kubera gukora ubutaruhuka.
Yagize ati “Iyo ukora ibikorwa by’ubugiraneza bisaba kwambara ikamba wahawe ugakomeza ukiyitaho ngo ugaragare neza, nahisemo kugaruka vuba mu rugo ngo nsubire mu kazi”.
Bhasha Mukherjee w’imyaka 24 yatowe mu mu kwezi kwa Kanama muri 2019 nka Miss w’u Bwongereza, akaba yasubiye mu gihugu cye ndetse ahita yishyira mu kato k’iminsi 14, akazakavamo ajya gufatanya n’abandi baganga bagenzi be mu guhangana na Coronavirus.

",https://www.kigalitoday.com/ubuzima/ubuvuzi/article/nyampinga-w-u-bwongereza-yabaye-asubije-ikamba-kubera-coronavirus,Health
Urubyiruko rurasabwa kumva ububi bwa covid-19 no kuyirinda,"Mu makuru make y’isesengura ku ndwara ya Covid-19 inzobere zigenda zishyira ahagaragara, nyuma yo kwaduka kw’iyi ndwara, zigaragaza ko yibasira abageze mu za bukuru ku kigero kiri hejuru ugereranyije n’abo mu myaka yo hasi; cyane ko abenshi baba batagifite intege n’ubudahangarwa bihagije mu mubiri, n’igihe abari muri icyo kigero barwaye izindi ndwara zirimo n’izidakira ikabashegesha by’umwihariko.
Mu masoko n’uduce tumwe na tumwe mu Ntara y’Amajyaruguru, usanga hari ahagaragara abiganjemo urubyiruko yaba mu mihanda bagenda, cyangwa abagaragara bahagaze mu dutsiko baganira.
Ni mu gihe mu mabwiriza arebana no gukumira ikwirakwizwa ry’indwara ya Covid-19 aheruka gushyirwa ahagaragara na Minisirtiri w’Intebe, abuza abantu b’ibyiciro byose kugira imyitwarire nk’iyi.
Urubyiruko rwaganiriye na Kigali Today, rurimo urugifite imyumvire y’uko iyi ndwara yibasira abakuze gusa, ikaba impamvu itabuza bamwe muri bo guhugira mu byo bisangamo mu buzima bwa buri munsi nko guhurira hamwe ari benshi baganira, gusangira n’ibindi.
Twagirumukiza Ildephonse wo mu Murenge wa Nkotsi mu Karere ka Musanze yagize ati “Iki cyorezo kiri kwica abantu b’abasaza n’abakecuru kuko ni bo twumva kizahaza cyane. Nta muntu ukiri muto ndumva cyahitanye, niba ari uko baba bagifite imbaraga cyangwa batarwaragurika simbizi.
Nubwo biba byatubabaje ko abo bakuze bapfuye, ntibyaduca intege ngo tubure gushakisha uko twabaho, tugera ikirenge mu cyabo cyo gushaka imibereho ituma twibeshaho, cyane ko tuba tunafite utuntu twinshi twakora tukatwinjiriza agafaranga. Rero bidusaba guhura kenshi, tukamenaho abiri kugira ngo urebe ko hari uwagutungira agatoki”.
Iyi ndwara ya Covid-19 ku isi, imaze kwandurwa n’abakabakaba miliyoni 1 n’ibihumbi 300, mu gihe abarenga ibihumbi 69 barimo n’abari mu kigero cy’imyaka iri munsi ya 35 y’amavuko idasize n’abana b’impinja mu bahitanwa na yo.
Inzobere zita ku barwaye iyi ndwara zirimo Umwongereza witwa Dr. David Hepburn, zivuga ko umuntu uwo ari we wese iyi ndwara ishobora kumwibasira ititaye ku kigero arimo n’uko ubuzima bwe buhagaze.
Nubwo umubare w’urubyiruko n’abato uri ku kigero cyo hasi kandi ikaba itabazahaza nk’abakuze, ntibibujije ko urubyiruko rwakaza ingamba zo kuyikumira no kuyirinda, hagamijwe ko na bo ubwabo bataba intandaro yo kuyikwirakwiza mu bantu igihe hari uwayanduye.
Abayobozi barimo uw’Akarere ka Musanze, Nuwumuremyi Jeannine, yavuze ko urubyiruko rufite uruhare rwo gufata iyambere rwirinda kandi rurinda abandi.
Yagize ati “Urubyiruko rwacu rurajijutse, kuko abenshi ari abavuye ku ishuri yaba muri Kaminuza n’ayisumbuye kugira ngo igihugu kibafashe kwirinda mu buryo bwizewe, ni bo bambere bakagombye kudufasha kwigisha abandi barimo n’abo batarasobanukirwa ko iyi ndwara ishobora kwibasira ibyiciro byose mu gihe haba hatabayeho kwirinda.
Kandi ibi kubikora bari iwabo mu rugo birashoboka, kuko bafite ikoranabuhanga banyuzaho ubutumwa bwaba bwigisha abadafite amakuru ahagije kuri iki cyorezo. Nibitwararike, basobanurire n’abo mu miryango yabo ko ari gahunda ireba buri wese, kugira ngo uru rugamba tuzarushobore”.
Uwanyiligira Marie Chantal, Umuyobozi w’Akarere ka Burera, na we asanga urubyiruko rudakwiye kwirara, kuko iki cyorezo gifite ubukana, kikaba gikwirakwira ntawe gisize.
Agira ati “Buri wese yacyandura mu gihe adakurikije ya mabwiriza yo kugira isuku abantu bakaraba intoki kenshi kandi bagakoresha amazi meza n’isabune. Urubyiruko rwacu rubigire umuco, rwirinde ibibahuriza mu dutsiko, umwanzuro ube uwo kuguma mu rugo.
Ari umukuru aba afite ibyago byinshi byo guhitanwa na yo kandi n’abato ni uko; n’aho bataba bafite ibyago byo guhitanwa na yo nk’abakuze, tunibuke ko uru rubyiruko ubwarwo rutirinze, rushobora kuyikwirakwiza no mu babyeyi na ba sekuru babo, bikabavutsa ubuzima nyamara twari tukibakeneye”.
Mu Rwanda abantu 105 ni bo bamaze kwadura indwara ya Covid-19, barindwi muri bo bamaze gukira.
Umunyamakuru wa Kigali Today/KT Radio

",https://www.kigalitoday.com/ubuzima/indwara/article/urubyiruko-rurasabwa-kumva-ububi-bwa-covid-19-no-kuyirinda,Health
Barindwi bamaze gukira Coronavirus (MINISANTE),"Iryo tangazo rivuga ko abarwayi bose bari kuvurirwa ahantu habugenewe kandi barimo koroherwa. Abenshi muri bo ubu ngo nta bimenyetso bya Coronavirus bagaragaza, ngo nta n’urembye urimo.
Abaturarwanda bose basabwa gukomeza kwitwararika, nk’uko Minisiteri y’Ubuzima yabigarutseho muri iri tangazo.


Umunyamakuru wa Kigali Today/KT Radio
@ h_malachie

",https://www.kigalitoday.com/ubuzima/indwara/article/barindwi-bamaze-gukira-coronavirus-minisante,Health
Mu Rwanda uyu munsi hagaragaye undi muntu umwe urwaye Coronavirus,"

Itangazo rya Minisiteri y’Ubuzima riravuga ko uwo muntu umwe byatahuwe ko yahuye n’undi urwaye Coronavirus mu Rwanda.


Umunyamakuru wa Kigali Today/KT Radio
@ h_malachie

",https://www.kigalitoday.com/ubuzima/indwara/article/mu-rwanda-uyu-munsi-hagaragaye-undi-muntu-umwe-urwaye-coronavirus,Health
Nigeria: Ntibavuga rumwe ku kuzana abaganga bo mu Bushinwa,"Iri huriro mu ibaruwa ryandikiye Guverinoma, bayibwiye ko icyo gitekerezo kigayitse cyane ndetse batiyumvisha uburyo Leta yaha akazi abaganga baturutse hanze y’igihugu kandi yirengagije umubare munini w’abaganga b’abanyagihugu bicaye nta kazi bafite, rikavuga ko ari bo Leta yagakwiye guheraho mu gutanga akazi.
Umuyobozi w’ihuriro ry’abaganga, Francis Ohanyido, mu kiganiro n’itangazamakuru, yagize ati: “Ntabwo wakwihutira kuzana abaganga b’Abashinwa mu gihugu cyacu wirengagije abize ubuganga b’abashomeri birirwa mu rugo ntacyo gukora, ikindi ni uko aba Bashinwa batamenyereye umuco w’abanyagihugu bacu ndetse hari inzitizi z’uko abaganga batamenyereye gukorera muri Nigeria, twabyamaganye rwose.”
Ku wa Gatatandu tariki 04 Mata 2020 nibwo Guverinoma yatangaje ko abaganga b’Abashinwa batumiwe kuza gusangiza Abanya-Nigeria ubumenyi n’ubunararibonye bw’uburyo babashije kurwanya no guhashya icyorezo cya Coronavirus bakagicogoza ku butaka bw’u Bushinwa.
Muri Nigeria, abantu 232 ni bo bamaze kwandura icyorezo COVID-19 mu gihe kimaze guhitana abantu 5, bikavugwa ko abandi 33 babashije gukira iyi ndwara.
Ibikorwa byose by’ubucuruzi, iby’ingendo zo mu kirere no ku butaka byarahagaritswe abantu bategekwa kuguma mu ngo mu mijyi ibiri ikomeye; ari yo umurwa mukuru Abuja n’umujyi ukomeye w’ubucuruzi wa Lagos.
Umunyamakuru wa Kigali Today/KT Radio
@ RavyNDIZEYE

",https://www.kigalitoday.com/ubuzima/ubuvuzi/article/nigeria-ntibavuga-rumwe-ku-kuzana-abaganga-bo-mu-bushinwa,Health
Mu Rwanda habonetse abandi barwayi babiri ba Coronavirus,"

Ibi byatumye umubare w’abarwaye Coronavirus mu Rwanda ugera ku bantu 104. Muri aba, bane bakaba bakize banasezererwa mu bitaro.
Itangazo rya Minisiteri y’Ubuzima rivuga ko abo barwayi babiri bagaragaye uyu munsi ari abatahuwe ko bahuye n’abandi barwaye Coronavirus mu Rwanda.
Minisiteri y’Ubuzima kandi ivuga ko abo bagaragaweho Coronavirus bose bahise bashyirwa mu kato, kandi hakomeje gushakishwa abantu bose bahuye na bo, kugira ngo basuzumwe ndetse bitabweho n’inzego z’ubuzima.
Abarwayi ba Coronavirus mu Rwanda bose bavurirwa ahantu habugenewe, kandi bari koroherwa, abenshi muri bo bakaba nta bimenyetso bakigaragaza kandi ntawe urembye.
Minisiteri y’Ubuzima isaba Abaturarwanda bose gukomeza kwitwararika, bakurikiza ingamba zafashwe na Leta y’u Rwanda.
Ibimenyetso by’ingenzi bya Coronavirus ni inkorora, guhumeka bigoranye, n’umuriro. Umuntu wese ugaragaza ibi bimenyetso asabwe kwihutira guhamagara umurongo utishyurwa ari wo 114 cyangwa akitabaza umujyanama w’ubuzima umwegereye.


Umunyamakuru wa Kigali Today/KT Radio
@ CharlesRUZINDA2

",https://www.kigalitoday.com/ubuzima/indwara/article/mu-rwanda-habonetse-abandi-barwayi-babiri-ba-coronavirus-44457,Health
Abarwayi bane bari barwaye COVID-19 mu Rwanda basezerewe,"Abo bakize bari barwariye hamwe n’abandi ku kigo nderabuzima cya Kanyinya, ahasanzwe hakirirwa abantu bose baba bagaragaweho n’ubwo burwayi, kubasezerera bikaba byakozwe kuri iki cyumweru tariki 5 Mata 2020, ikaba ari intambwe nziza ku gihugu yo guhashya icyo cyorezo.
Abarekuwe ni Abanyarwanda batatu n’Umurundi umwe, bakaba bahawe icyemezo cy’uko bavuwe mbere yo gusubira mu miryango yabo.
Minisitiri w’Ubuzima, Dr Ngamije Daniel yavuze ko abarekuwe batifuje ko amazina yabo atangazwa kandi ni uburenganzira bwabo, icyakora nyuma yo kubavura bapimwe inshuro eshatu, iyo inshuro ebyiri muri zo za nyuma y’iminsi 14 y’akato zerekanye ‘Négatif’, bihita byemezwa ko uwari urwaye icyo cyorezo yagikize.
Minisitiri Ngamije aganira n’abanyamakuru, yavuze kandi ko kuba abo bantu basezerewe bameze neza ari inkuru nziza ku Rwanda mu kurwanya Covid-19.
Agira ati “Twari dufite abanduye icyo cyorezo 102 kugeza ku mugoroba wo kuri uyu wa gatandatu ariko uyu munsi byahindutse nyuma yo gusezerera aba bane, kuko abarwaye bahise bagabanuka baba 98. Iyi ni nkuru nziza kuri twebwe kuba tubashishije kuvura aba bantu mu minsi itarenze 14 nk’uko amabwiriza abivuga”.
Ati “Amabwiriza avuga ko tugomba gupima umuntu izindi nshuro ebyiri nyuma y’iminsi 14, zakerekana négatif. Ubwa mbere twabapimye ku wa gatatu twongera ku wa gatandatu, inshuro zombi zerekanye négatif, nk’uko amabwiriza abivuga rero abarwayi bahita barekurwa ari byo twakoze uyu munsi. Twishimiye ko aba bantu bafashijwe ku gihe”.
Yongeyeho ko gupima abo bantu ari bwo bakigaragaza ibimenyetso by’indwara aho gutegereza ko baremba ari byo byabafashije, ariko ngo kuba abo basezerewe ntibivuze ko Covid-19 ari indwara iciriritse, ngo ni icyorezo gikomeye kandi ubudahangarwa bw’umubiri buba butandukanye nk’uko abantu batandukanye, ibyo bikagira uruhare rukomeye mu kuvura iyo ndwara.
Minisitiri Ngamije avuga kandi ko kugira ngo basezerere umuntu hari ubwo bisaba gupima inshuro zirenze iziteganyijwe.
Ati “Kuri buri murwayi nyuma y’iminsi 14 tumupima bwa mbere, yaba négatif tukamupima bwa kabiri. Iyo igipimo cya mbere kibaye positif, bidusaba gutegereza bitewe n’ubukana twasanganye virusi, nyuma tugapima bwa kabiri ndetse tukazongera gupima n’ubwa gatatu, tuba tugomba kubona ibipimo bibiri bikurikiranye bitanga négatif”.
Ati “Ubu dukomeje ubwo buryo bwo gupima ku barwayi basigaye ariko twizera ko bitazatinda, cyane ko abarwayi bameze neza. Ndizera ko mu mpera z’iki cyumwe hazaba hakozwe ibindi bipimo byinshi”.
Ku birebana no kuvura, uwo muyobozi yavuze ko ubu u Rwanda ruvura ibimenyetso binyuranye by’iyo virusi ariko ko nta muti uyivura uremezwa n’Ishami ry’Umuryango w’Abibumbye ryita ku Buzima (OMS) kugeza ubu.
Icyakora Minisitiri Ngamije yavuze ko u Rwanda ruri mu nzira yo kwemererwa kwinjira muri gahunda zitandukanye zo kugerageza imiti, nk’uwitwa Hydroxychloroquine na Azithromycin, iyo abahanga bakaba bavuga ko yombi yabasha guhanga na Coronavirus.
Yavuze kandi ko iyo miti ishobora gutangira gukoreshwa hagati mu cyumweru gitaha, bahereye ku barwayi bagaragaje ibindi bibazo ndetse na za ‘infections’.
Minisitiri w’Ubutegetsi bw’igihugu, Prof Shyaka Anastase, we yasabye abaturage gukomeza kubahiriza amabwiriza Leta yashyizeho yo kwirinda gukwirakwiza icyorezo cya Covid-19, anabizeza ko abafite ikibazo cyo kubona ibibatunga, Leta n’abikorera bashyize imbaraga hamwe kugira ngo babashe gukomeza kubagoboka.
Umunyamakuru wa Kigali Today/KT Radio
@ MunyantoreC

",https://www.kigalitoday.com/ubuzima/ubuvuzi/article/abarwayi-bane-bari-barwaye-covid-19-mu-rwanda-basezerewe,Health
U Rwanda ruri gufasha Santarafurika gupima abakekwaho Coronavirus,"Kuwa Gatandatu tariki ya 04 Mata 2020, Minisiteri y’Ubuzima n’abaturage muri Repubulika ya Santarafurika yatangaje ko umuntu wa cyenda yagaragaye mu gihugu yaranduye Coronavirus.
Yavuze ko ari umugabo w’imyaka 44 usanzwe uba mu Mujyi wa Bangui.
Laboratwari y’Igihugu mu Rwanda ni yo yemeje ko uwo murwayi yanduye iki cyorezo, ndetse Santarafurika ishima ubwo bufatanye mu kurwanya icyo cyorezo.
Itangazo rya Minisiteri y’Ubuzima n’Abaturage muri Santarafurika rigira riti “Minisiteri y’Ubuzima n’Abaturage irashimira Ikigo cy’Igihugu cy’Ubuzima mu Rwanda (RBC) ku bw’imikoranire”.
Mu ntangiriro z’uyu mwaka ni bwo u Rwanda rwabonye ikoranabuhanga ryifashishwa mu gupima iki cyorezo, rurihawe n’ikigo gikora ubushakashatsi mu by’indwara n’ibyorezo cyo mu Budage,’ Robert Koch Institute’.
Mu bandi bafashije u Rwanda mu kugira ubushobozi bwa laboratwari ishobora gupima iki cyorezo harimo Leta zunze ubumwe za Amerika, ndetse n’Ishami ry’Umuryango w’Abibumbye ryita ku Buzima (OMS).



",https://www.kigalitoday.com/ubuzima/indwara/article/u-rwanda-ruri-gufasha-santarafurika-gupima-abakekwaho-coronavirus,Health
