Title,Body,Url,Category
"
         Corona yazonze abagabo batamenyereye mu rugo, agacupa gasimburwa n’igikoma-Senderi          
      ","Umuhanzi Senderi International Hit yasohoye indirimbo asaba abafana be n’Abanyarwanda muri rusange kumvira inama zibasaba kuguma mu rugo. Avuga ko corona yabaye ikibazo cyane cyane ku bagabo batamenyereye kuguma igihe kirekire mu rugo. Ni mu ndirimbo yise ‘Corona Gezaho’.
Avuga ko iki cyorezo cyahagaritse ubuzima bwa benshi ariko cyane cyane ba nyakabyizi n’abashomeri batari basanzwe bafite icyo binjiza. Avuga k obo ubuzima bwababanye ibamba.
Ati: “ Corona waturaje rwantambi. Uhagarika abari bafite ubukwe, ukura abana mu mashuri, uhombya ibihugu karahava…”
Senderi avuga ko iyo coronavirus yabujije abagabo kwisanzura cyane kuko ngo yabagize imfungwa, ntibashobora kujya gusangira icupa na bagenzi babo, bamwe mu banywaga agahiye bayoboka igikoma.
Mu ndirimbo ye kandi avuga ko coronavirus yaryamishije abasore matelas zirika n’abakobwa babura amafaranga yo kugura mega zo kujya ku mbuga nkoranyambaga(chat).
Nubwo avuga ibibazo abantu bahuriye nabyo mu ngo zabo kubera kiriya cyorezo, Senderi avuga ko kuguma mu rugo ari ingenzi.
Yanenze abantu buririye kuri iki cyorezo bagakwirakwiza impuha.

UMUSEKE.RW
",https://umuseke.rw/corona-yazonze-abagabo-batamenyereye-mu-rugo-agacupa-gasimburwa-nigikoma-senderi.html,Entertainment
"
         Kigali: Umuhanzi Naason yapfushije  Se          
      ","Umuhanzi  Nshimiyimana  Naason uzwi ku izina rya Naason yapfushije Se witwa Djumaine Athanase wari umaze igihe arwaye. Mushiki wa Naason kwa Sewabo witwa Sabrina Uyisenga yabwiye Umuseke ko Sewabo yari amaze igihe kirekire arwaye ariko kwa muganga bari baramubuzemo indwara.
Nyakwigendera yari asanzwe atuye mu Murenge wa Kimisagara, ahitwa Kamuhoza mu karere ka Nyarugenge.
Uyisenga Sabrina avuga ko nyakwigendera yigeze kuba umwe mu bacuranzi ba chorale Hoziana ya ADEPR Nyarugenge.
Atabarutse afite imyaka 67 y’amavuko akaba asize abana umunani Naason we akaba ari uwa kabiri.
Jean Pierre NIZEYIMANA UMUSEKE.RW
",https://umuseke.rw/kigali-umuhanzi-naason-yapfushije-se.html,Entertainment
"
         Abarimo Sandrine Isheja, Bruce Melodie, Arthur baratanga inama zo kwirinda COVID-19          
      ","Ibyamamare bitandukanye mu Rwanda birimo abahanzi, abanyamakuru n’abanyarwenya bahagurukiye ubukangurambaga bugamije kurwanya icyorezo cya Coronavirus (COVID-19) batanga inama uburyo abantu bakwiye kwitwara muri ibi bihe burimo no kuguma mu rugo.
Ubu butumwa bari kubutambusta ku mbuga nkoranyambaga zabo nka Instagram, bagahamagarira abaturarwanda kwirinda iki cyorezo kimaze gufata abagera kuri 40 mu Rwanda.
Mu butumwa bw’amashusho, Bruce Melodie yabwiye buri muturarwanda waba warabanye n’umuntu ufite ibimenyetso by’iki cyorezo cyangwa we ubwe akaba abifite, akwiye kwihutira kubimenyesha inzego z’ubuzima.
Uyu muhanzi kandi asaba abaturarwanda gukomeza kwitwararika “Mugume mu rugo, mukarabe intoki, amagara araseseka ntayorwe.”
Umunyamakuru Sandrine Isheja Butera asaba abaturarwanda kwirinda ingendo zitari ngombwa bakaguma mu rugo kugira ngo batagira aho bahurira n’ubwandi bw’iki cyorezo.
Uyu munyamakuru usanzwe ari n’umubyeyi wubatse by’umwihariko ubutumwa bwe yibanze ku babyeyi abasaba kugumana n’abana mu rugo bakabarinda gutarabuka.
Ati “Mubafashe gusubiramo amasomo ni n’igihe kiza cyo kuganira n’abana ukaganira n’umwana ugakina n’umwana wawe mukaganira mukaba inshuti.”
Umuhanzi Mani Martin we yacyebuye abanyarwanda bakomeje gukerensa inama n’ingamba bari kugirwa na Guverinoma y’u Rwanda ku buryo hari abumva ko areba bamwe abandi bakaba bayakomoreweho.
Ati “Nyabuneka nyabuneka guma mu rugo, nubwo amabwiriza tuyahabwa ariko birababaje kubona hari abayarengaho wasohoka mu rugo ugiye kugura icyo kurya ukabona abantu baragenda”
Uyu muhanzi uvuga ko nta kintu kidasanzwe na kimwe cyabuza Ubuntu kubahiriza ariya mabwiriza, yibutsa abantu ko kiriya cyorezo gifata buri wese bityo ko no kukirinda bireba buri wese, akibutsa abantu gusukura ibiganza n’amazi meza ndetse n’isabune.
Umunyarwenya Nkusi Arthur, na we yatanze ubutumwa bwuzuye urwenya ariko butanga inama zo kudacika intege.
Atangira agira ati “Ibintu byakomeye ariko ntimugire ubwoba [agakubita agatwenge]…”
Uyu munyarwenya we agira inama abaturarwanda kudaha agaciro ibihuha no kwirinda kuyobywa na byo ahubwo bakajya bizera amakuru yatanzwe na Minisiteri y’Ubuzima nk’urwego rufite ububasha bwo gutanga amakuru areba iki cyorezo.
Asaba abantu kudakomeza kumva ko ibintu byadogereye kandi bakibanda ku makuru areba igihugu cyabo aho gukurikirana ayo mu bindi bihugu.
UMUSEKE.RW
",https://umuseke.rw/abarimo-sandrine-isheja-bruce-melodie-arthur-baratanga-inama-zo-kwirinda-covid-19.html,Entertainment
"
         Manu Dibango wari umuhanzi ukomeye ku Isi yahitanywe na Covid-19          
      ","Umuhanzi Manu Dibango wahimbwe “Papy Groove” yatabarutse afite imyaka 86. Yapfuye kuri uyu wa kabiri tariki 24 azize Covid-19, indwara ituruka kuri coronavirus.
Urupfu rwe rwatangajwe n’abo mu muryango we, bavuze ko yishwe na Covid-19.
Itangazo ry’umuryango we rigira riti “Babyeyi dukunda, nshuti, ijwi rirahamagarira kure… N’umubabaro turabatangariza urupfu rwa Manu Dibango, ‘Papy Groove’ wacu, yapfuye tariki 24 Werurwe 2020 afite imyaka 86, azize Covid-19.”
Manu Dibango ubusanzwe akomoka muri Cameroon yageze i Marseille mu 1949 akiri ingimbi, ibikorwa bye byamuhesheje umudari w’icyubahiro Chevalier de la Légion d’honneur mu 2010.
Uyu mugabo yari agikomeye acuranga injyana ya jazz n’iyitwa musique classique, ndetse mu mwaka ushize yakoze ibitaramo bitandukanye.
Abamuzi bavuga ko yari umugabo w’igihangange, munini kandi ubwo bunini bwe bungana n’ubumuntu yagiraga, ngo yahoraga yishimye.
Umunyamabanga wa Leta muri Minisiteri y’Ububanyi n’Amahanga, Amb. Olivier Nduhungirehe yavuze ko Cemeroon, Africa n’Isi bibuze umuntu ukomeye, ukwiye icyubahiro.

UMUSEKE.RW
",https://umuseke.rw/manu-dibango-wari-umuhanzi-ukomeye-ku-isi-yahitanywe-na-covid-19.html,Entertainment
"
         Kenny Rogers yapfuye          
      ","Umuhanzi wo ku rwego rw’isi wamenyekanye mu njyana zigenda gahoro ariko zifasha abantu kuruhuka witwa Kenny Rogers yapfuye afite imyaka 81. Ni umuhanzi wari umuhanga cyane k’uburyo yahawe ibihembo bya Grammy Award inshuro eshatu.
Rogers yabaye icyamamare cyane mu gihe cy’imyaka 20 ni ukuvuga guhera 1970 kugeza 1980.
Abo mu muryango we bavuga ko yazize urupfu rusanzwe. Ngo si COVID -19.
Yaguye iwe ari kumwe n’abo mu muryango n’inshuti ze.
Kenneth Ray Rogers yavutse taliki 21, Kanama, 1938.Yakoraga indi  mirimo irimo ubucuruzi, gukina filimi, akandika kandi akanaririmba indirimbo.
Yari umwe mu bagize itsinda ry’ibirangirire muri muzika ryitwa Country Music Hall of Fame.
Yari azi kuririmba ariko akanacuraga guitar ya bass.
Indirimbo ze zatangiye kumenyekana cyane muri 1967 gukomeza kugeza mu myaka ya 1990.
Guhera muri 1975 yakoze muzika wenyine ariko akajya akorana rimwe na rimwe n’abandi bahanzi muri country bakomeye nka Dolly Parton na Sheena Easton ndetse na Lionel Richie.
Imwe mu ndirimbo yakoze zigakundwa kurusha izindi zose ni iyo yise ‘The Gambler’. Iyi yayikoze muri 1978.
Mu buzima bwe bwose yakoze indirimbo zirenga 120 akaba yaragurishije albums miliyoni 100 ku isi hose.
Ibi byatumye aba umwe mu bahanzi bake bagurishije album nyinshi kurusha abandi babayeho.
The Gambler

Jean Pierre NIZEYIMANA
UMUSEKE.RW
",https://umuseke.rw/kenny-rogers-yapfuye.html,Entertainment
"
         Congo-Brazza: Umuhanzi Aurlus Mabélé yishwe na COVID-19          
      ","Umuhanzi ukomoka muri Repubulika ya Congo- Brazzaville  Aurlus Mabélé wabaga mu Bufaransa yishwe na COVID-19. Yari afite imyaka 67 y’amavuko. Ni umwe mu bahanzi b’Africa bamenyekanye cyane mu myaka ya 1980 na 1990. Yabaga mu Bufaransa.
Abo mu muryango we n’abakunzi be batangaje ku mbuga nkoranyambaga ko yishwe na coronavirus.
Abafana be bamwitaga umwami w’injyana ya Soukous, iyi ikaba ari injyana yo muri Repubulika iharanira Demukarasi ya Kongo ikundwa henshi muri Africa.
Umukobwa we yitwa witwa Liza Monet nawe usanzwe ari umuhanzi mu Bufaransa yavuze ko yababajwe n’urupfo rwa Se wahitanywe na coronavirus.
Ati: “ Ubu mfite agahinda kenshi k’uburyo ntawampoza.”
Inshuti ye kandi isanzwe ikorera mu itsinda yashinze ryitwa Loketo yitwa Mav Cacharel nawe yanditse kuri Facebook ko Mabélé yishwe na coronavirus.
Ku rundi ruhande ariko usanzwe akurikirana ibikorwa bya Mabélé witwa Jimmy Ouetebou yabwiye BBC ko atakwemeza ko Mabélé yazize coronavirus kuko n’ubundi ngo yari asanganywe ibibazo by’ubuzima harimo uburwayi bw’igihe kirekire.
Mabélé, amazina ye nyayo ni Aurélien Miatsonama, akomoka muri Congo-Brazzaville ariko muri 1980 yimukiye mu Bufaransa.
Ni umwe mu bahanzi bakomeye ba Africa yo mu nsi y’ubutayu bwa Sahara akaba ari umwe mu batangije kandi bamenyekanisha ku isi injyana ya soukous.
Imwe mu ndirimbo ze zakunzwe kurusha izindi ni iyo yise Embargo.
Umva indirimbo ‘Embargo’

Jean Pierre NIZEYIMANA
UMUSEKE.RW
",https://umuseke.rw/congo-brazza-umuhanzi-aurlus-mabele-yishwe-na-covid-19.html,Entertainment
"
         Ikiganiro na Oda Paccy wifuza gufasha abandi bakobwa bafite impano yo kuririmba          
      ","Uzamberumwana Oda Pacifique uzwi  Oda Paccy ni umuhanzi kazi nyarwanda ubifatanya no gushabika mu muziki muri Label ya Ladies Empire anabereye umuyobozi. Aganira n’umuseke yavuze ko  umuziki wamugejeje kuri byinshi bityo akaba yifuza kuzamura n’abandi bakobwa bafite impano yo kuririmba.
Uzamberumwana Oda Paccy imfura mu muryango w’abana babiri akaba umubyeyi w’umwana umwe, yinjiye mu muziki byeruye muri 2009 ahita ashyira hanze indirimbo yise Ese Nzapfa yanamufashije kumenyekana
Ati “Usibye iriya ndirimbo navuga ko n’indi nise ‘miss president’ ari yo yamfashije kwisobanukirwa  ndetse nzahora nyubaha cyane, yatumye nibuka ko ndi umugore ushobora kurwanirira igihugu bibaye ngombwa.”
Oda Paccy yemeza ko yakoze injyana ya Hip Hop kuko ari injyana idakorwa cyane n’igitsinagore.
Ati “Burya Hip Hop si injyana nakoze mbere y’izindi zose kuko na  mbere y’uko menyekana mu muziki nabanje kujya nandika indirimbo ziri mu mujyo wa RnB ariko navuga ko nakoze Hip Hop kuko yari injyana idakorwa cyane n’igitsina gore mu Rwanda.”
Akomeza avuga ko umuziki wagize uruhare rukomeye mu iterambere ry’umwari n’umutegarugori mu Rwanda.
Ati “Umuziki navuga ko ari uruvugiro ndetse ni ahantu haca ubutumwa bwibutsa abagore gukomera kandi ko bashoboye ndetse ko nta kintu na kimwe kidashoboka kuri bo. Umuziki kandi wibutsa ko abagore ari abantu bagaciro.”
Oda Paccy avuga ko ibyo amaze kugeraho mu muziki byamuhaye igitekerezo cyo  gufasha abakobwa bagenzi be abicishije muri Label ya Ladies Empire abereye umuyobozi.
Ngo ubu bufasha azabutanga abinyujije muri Label ye Ladies Empire yateguye amarushanwa yo gushaka abakobwa bafite impano mu muziki.
Avuga ko umukobwa ushaka kwinjira muri aya marushanwa azifata amashusho atarengeje umunota arimo kuririmba akayohereza kuri whatsapp y’iriya Label n’imyirondoro ye ubundi bagasuzuma niba afite impano ikwiye gushyigikirwa.
Aya marushanwa yatangiye ku wa wa 18 Werurwe kugeza ku wa 5 Mata 2020.
Avuga ko iyo ataza gukora umuziki yari gukora ibifite aho bihuriye n’ikoranabuhanga cyane mu gice cya ‘Programming’.
Robert KAYIHURA
UMUSEKE.RW
",https://umuseke.rw/ikiganiro-na-oda-paccy-wifuza-gufasha-abandi-bakobwa-bafite-impano-yo-kuririmba.html,Entertainment
"
         Miss Naomie wanenzwe mu cya Leta ibikorwa bye ntazafatanya n’abategura Miss Rda          
      ","Miss Rwanda 2020 Naomie Nishimwe yatangaje ko ibikorwa bye birimo n’umushinga we azabikora adafatanyije n’abasanzwe bategura igikorwa cya Miss Rwanda banasanzwe bafatanya n’abakobwa batowe gushyira mu bikorwa imishinga bahize.
Mu itangazo ryashyizwe hanze n’uyu mukobwa uherutse gutorerwa kuba mwiza ku mubiri, mu muco n’ubumenyi, yatangaje ko ibijyanye n’inshingano ze mu gihe afite ikamba atazafatanya n’abategura irushanwa rya Miss Rwanda.
Iri tangazo ryashyizweho umukono na Naomie Nishimwe, rivuga ko iki cyemezo cyafashwe mu rwego rwo kumufasha gushyira imbaraga mu gushyira mu bikorwa umushinga we wo kubungabunga ubuzima bwo mu mutwe.
Rivuga kandi ko Miss Naomie azakomeza gukorana bya hafi na Rwanda Inspirational Backup bategura Miss Rwanda.
Naomie Nishimwe watorewe kuba Nyampinga w’u Rwanda mu  ijoro ryo ku wa 22 Gashyantare, yavugishije benshi ubwo yari agikandagira muri iri rushanwa ubwo ryari rikiri mu majonjora y’abazahagararira Intara enye n’Umujyi wa Kigali.
Uyu mukobwa waserukiye Umujyi wa Kigali, benshi bakoresha imbuga nkoranyambaga bakibona amafoto ye bayakwirakwije nk’abamamaza isuka ya cyapa ngona mu gihe cy’ihinga, bavuga ko ari we ukwiye ikamba rya Miss Rwanda 2020.
Uyu mukobwa ukirangiza amashuri yisumbuye kandi yanavugishije benshi ubwo hasohokaga amanota y’abarangije ayisumbuye mu mwaka w’amashuri wa 2019 batangarira amanota ye kuko amasomo ye menshi yagiye abona ikiciro cya nyuma.
Miss Naomie utararipfanye, yemeye ko ariya manota ari aye koko ariko ko abantu bakwiye kuyakira kandi bakamwakira nka Nyampinga kuko yamaze guhabwa iri kamba azamarana umwaka.
UMUSEKE.RW
",https://umuseke.rw/miss-naomie-wanenzwe-mu-cya-leta-ibikorwa-bye-ntazafatanya-nabategura-miss-rda.html,Entertainment
"
         Gahima ufite igihangano ‘ingorane’ ngo iya mbere ni ukugira umugore umwe ntimwumvikane          
      ","Umusaza Gahima Deogratias wo mu Kagari ka Ngoma mu Murenge wa Kabaya mu Karere ka Ngororero afite igihango kigaruka ku ngorane abantu banyuramo, avuga ko ingorane ya mbere ari ukugira umugore umwe ntimwumvikane.
Ni umusaza uzi kuganira cyane, akanyuzamo akanagamo amashyengo ariko yuje impanuro.
Yahimye igihangano ‘ingorane’ ngo ashaka kugaragaza amagorwa abantu banyuramo, akavuga ko yagira ngo atange ubutumwa bityo n’uwo atunze urutoki muri ibyo bihangano bye yikebuke.
Muri iki gihangano ke kiri mu kiciro gisa nk’ubusizi hari aho avuga ko umuntu ahirimbanira kubaho hakaba n’abo bivuna bakiyuha akuya ariko umusaruro babonye ntube ungana n’imbaraga batakaje.
Ati «Nahimbye izi ngorane kugira ngo mbibwire abantu bumve ibyo mvuga babihe agaciro.»
Ku isonga avuga ko ingorane ya mbere ari ukuba warashatse umugore umwe ariko ntimwumvikane, urugo rwanyu rugahoramo intonganya, bikaba byanagira ingaruka mbi ku burere bw’abana ndetse bikazanabakurikirana mu gihe bazaba bubatse ingo zabo.
Gahima ubu ufite imyaka 84 avuga ko umugore we wa mbere yitabye Imana agashaka undi ubu bakaba bamaranye imyaka irenga 25 bakaba babanye neza.
Agira ati « Nabuze umugore wange wa mbere, nishumbusha Bayavuge turi kumwe kugeza ubu. Bayavuge wange yandwanyeho muri iyo myaka yose. »
Bayavuge Francine na we ahamya ibivugwa n’umugabo we ko kuva bashakana babanye neza.
Ati “Uyu musaza twabanye neza ntakibazo gihari, twashakanye neza kandi kugeza ubu tubanye neza.”

Dieudonne NSHIMIYIMANA
UMUSEKE.RW
",https://umuseke.rw/gahima-ufite-igihangano-ingorane-ngo-iya-mbere-ni-ukugira-umugore-umwe-ntimwumvikane.html,Entertainment
"
         Tukowote avuga ko kuba akuze bitamushyiraho igitutu cyo gushaka          
      ","(VIDEO) Irunga Ronge umukinnyi wa Film uzwi nka Tukowote avuga ko imyaka itamushyira ku gitutu cyo gushaka umugore kuko ngo nk’umugabo umubiri we uzakomeza gukora neza nk’uko bisanzwe n’ubwo yaba akuze.
Tukowote avuga ko kuba yaratinze gushaka bitaba intandaro y’igitutu kinshi ngo ashake umugore huti huti.
Avuga ko akeneye igihe gihagije kugira ngo arobanure uwo umutima we uzashima.
Yemeza ko atashaka umugore kubera ko abandi bashatse, akongera ho ko kwigana abandi mu bintu bizakugiraho ingaruka igihe kirekire atari byiza.
Ati: “Mu buzima ikure ku gitutu cy’abantu wowe korera ku gitutu cyawe kuko uwo ugushyira  ku gitutu ngo kora ibi kora ibi ntuzi ikiri mu mutima we wenda ari kugushora.”
Tukowote kugeza ubu afite umukunzi ariko akemeza ko  nta gitutu ariho kandi adakeneye ukimushyiraho ahubwo ko inkono ihira igihe .
Ntiyemeranya n’abavuga ko imyaka  ari igipimo cyo gushakiraho n’ubwo bwose gutinda ugakabya atari byiza.
Tukowote yavukiye mu ri Repuburika iharanira Demukarasi ya Congo ariko  ababyeyi be ni Abanyarwanda.
Yatangiye gukina film mu mwaka wa 2006 ubu akaba  amaze gukina izigera mu 102 harimo film mpuzamahanga imwe ari na yo ya tangiriyeho yinjira muri uyu mwuga wa cinema.
Muri iki gihe ari gukina muri filim ngufi z’uruhererekane zitwa Bamenya.
Iyi filimi iherutse kwegukana igihembo cya Rwanda International Movie Award mu cyiciro cya internet web  yari ihanganyemo na Papa Sava.

Nicolas YUSUF
UMUSEKE.RW
",https://umuseke.rw/tukowote-avuga-ko-kuba-akuze-bitamushyiraho-igitutu-cyo-gushaka.html,Entertainment
